SKU*,Description
CB-618-3AN1,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01358.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>STABLE</strong>: We have redesigned our value bike floor rack. The unique 2 holding plates both with tire grooves are at optimized holding angle. This fantastic feature ensures bikes vertically held in the bike stands. Please insert your bikes in different directions in order to fit 3 bikes in the stand. For example: One front wheel, the second one back wheel. Or please reverse one or more the bike holder(s), so the bikes could be inserted from both sides if there is large space.</li> 	<li><strong>STRONG</strong>: The stand is made of quality steel. Also powder coated black finish is for long lasting. It is recommended to be used indoor only. The front and back plates holding system prevents the up holder becoming wider. The wide holder will affect the bike holding stability.</li> 	<li><strong>EASY TO USE</strong>: The bike stand holders are all linked together, so the stand is heavier and more solid than single bike stand. Please watch our detailed instruction video in the listing.</li> 	<li><strong>COMPATIBILITY</strong>: The rack is designed for all wheel size bikes from the range of 12' to 20' kids bikes, 20' to 24' BMX bikes, 26' to 29' MTB and 700c road bikes. Max tire width: 2.5'. Limitations: 12' to 20' kids bikes only sit in the front holder, so it good to hold on back tire ONLY. <span data-offset-key=""51hmh-0-1""><span data-text=""true"">Disc rotor could touch the bike rack although it would not bend. Bike hubs may touch the bike stand holders too.</span></span></li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01393.jpg"" style=""width: 970px;"" /></p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/OX9QGdepu2s"" width=""560""></iframe></p> "
CB-618-4AN3,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01371.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>STABLE</strong>: We have redesigned our value bike floor rack. The unique 2 holding plates both with tire grooves are at optimized holding angle. This fantastic feature ensures bikes vertically held in the bike stands. Please insert your bikes in different directions in order to fit 4 bikes in the stand. For example: One front wheel, the second one back wheel. Or please reverse one or more the bike holder(s), so the bikes could be inserted from both sides if there is large space.</li> 	<li><strong>STRONG</strong>: The stand is made of quality steel. Also powder coated black finish is for long lasting. It is recommended to be used indoor only. The front and back plates holding system prevents the up holder becoming wider. The wide holder will affect the bike holding stability.</li> 	<li><strong>EASY TO USE</strong>: The bike stand holders are all linked together, so the stand is heavier and more solid than single bike stand. Please watch our detailed instruction video in the listing.</li> 	<li><strong>COMPATIBILITY</strong>: The rack is designed for all wheel size bikes from the range of 12' to 20' kids bikes, 20' to 24' BMX bikes, 26' to 29' MTB and 700c road bikes. Max tire width: 2.5'. Limitations: 12' to 20' kids bikes only sit in the front holder, so it good to hold on back tire ONLY. <span data-offset-key=""51hmh-0-1""><span data-text=""true"">Disc rotor could touch the bike rack although it would not bend. Bike hubs may touch the bike stand holders too.</span></span></li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01393.jpg"" style=""width: 970px;"" /></p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/7wsJ4XwEgMs"" width=""560""></iframe></p> "
CB-618-4AN3A,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01371.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>STABLE</strong>: We have redesigned our value bike floor rack. The unique 2 holding plates both with tire grooves are at optimized holding angle. This fantastic feature ensures bikes vertically held in the bike stands. Please insert your bikes in different directions in order to fit 4 bikes in the stand. For example: One front wheel, the second one back wheel. Or please reverse one or more the bike holder(s), so the bikes could be inserted from both sides if there is large space.</li> 	<li><strong>STRONG</strong>: The stand is made of quality steel. Also powder coated black finish is for long lasting. It is recommended to be used indoor only. The front and back plates holding system prevents the up holder becoming wider. The wide holder will affect the bike holding stability.</li> 	<li><strong>EASY TO USE</strong>: The bike stand holders are all linked together, so the stand is heavier and more solid than single bike stand. Please watch our detailed instruction video in the listing.</li> 	<li><strong>COMPATIBILITY</strong>: The rack is designed for all wheel size bikes from the range of 12' to 20' kids bikes, 20' to 24' BMX bikes, 26' to 29' MTB and 700c road bikes. Max tire width: 2.5'. Limitations: 12' to 20' kids bikes only sit in the front holder, so it good to hold on back tire ONLY. <span data-offset-key=""51hmh-0-1""><span data-text=""true"">Disc rotor could touch the bike rack although it would not bend. Bike hubs may touch the bike stand holders too.</span></span></li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01393.jpg"" style=""width: 970px;"" /></p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/7wsJ4XwEgMs"" width=""560""></iframe></p> "
CB-618-5AN2,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01389.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>STABLE</strong>: We have redesigned our value bike floor rack. The unique 2 holding plates both with tire grooves are at optimized holding angle. This fantastic feature ensures bikes vertically held in the bike stands. Please insert your bikes in different directions in order to fit 5 bikes in the stand. For example: One front wheel, the second one back wheel. Or please reverse one or more the bike holder(s), so the bikes could be inserted from both sides if there is large space.</li> 	<li><strong>STRONG</strong>: The stand is made of quality steel. Also powder coated black finish is for long lasting. It is recommended to be used indoor only. The front and back plates holding system prevents the up holder becoming wider. The wide holder will affect the bike holding stability.</li> 	<li><strong>EASY TO USE</strong>: The bike stand holders are all linked together, so the stand is heavier and more solid than single bike stand. Please watch our detailed instruction video in the listing.</li> 	<li><strong>COMPATIBILITY</strong>: The rack is designed for all wheel size bikes from the range of 12' to 20' kids bikes, 20' to 24' BMX bikes, 26' to 29' MTB and 700c road bikes. Max tire width: 2.5'. Limitations: 12' to 20' kids bikes only sit in the front holder, so it good to hold on back tire ONLY. <span data-offset-key=""51hmh-0-1""><span data-text=""true"">Disc rotor could touch the bike rack although it would not bend. Bike hubs may touch the bike stand holders too.</span></span></li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC01393.jpg"" style=""width: 970px;"" /></p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/oiub0wjhHVU"" width=""560""></iframe></p> "
CD-GG-01,"<div style=""font-family: Arial, Helvetica, sans-serif; ""> <p style=""color: rgb(51, 51, 51);""><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/CD-GG-01.jpg"" style=""width: 1600px; height: 990px;"" /></p>  <ul> 	<li style=""color: rgb(51, 51, 51);""><span style=""font-size:14px;""><strong>USE FRIENDLY:</strong> A grease gun is used to add lubrication to bike parts, such as bottom brackets, headset bearing, hub bearings etc. The gun injects the grease evenly and smoothly and the removable nozzle to help you clean the grease gun with peace and love.</span></li> 	<li style=""color: rgb(51, 51, 51);""><span style=""font-size:14px;""><strong>ONE HAND OPERATION</strong>: One-handed operation allows you to hold the parts while greasing them.</span></li> 	<li style=""color: rgb(51, 51, 51);""><span style=""font-size:14px;""><strong>COMPATIBLE</strong>: Compatible with any major brand grease tube. Grease is NOT included in this package</span></li> 	<li style=""color: rgb(51, 51, 51);""><span style=""font-size:14px;""><strong>RECOMMENDATIONS</strong>: Screw in the grease bottle completely and squeeze grease in the unit before using. Please clean the nozzle regularly to avoid grease blocked.</span></li> 	<li style=""color: rgb(51, 51, 51);""><span style=""font-size:14px;""><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty! &nbsp;Made in Taiwan. </span></li> </ul>  <p style=""color: rgb(51, 51, 51);"">&nbsp;</p> </div>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Gd10vGI2pw8"" width=""560""></iframe></p> "
CD-GG-02,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/CD-GG-02-2.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>USE FRIENDLY</strong>: A grease gun is used to add lubrication to bike parts, such as bottom brackets, headset bearing, hub bearings etc. The gun injects the grease evenly and smoothly and the removable nozzle to help you clean the grease gun with peace and love.</li> 	<li><strong>ONE HAND OPERATION</strong>: One-handed operation allows you to hold the parts while greasing them.</li> 	<li><strong>COMPATIBLE</strong>: Compatible with any major brand grease tube. Grease is NOT included in this package</li> 	<li><strong>RECOMMENDATIONS</strong>: Screw in the grease bottle completely and squeeze grease in the unit before using. Please clean the nozzle regularly to avoid grease blocked.</li> 	<li><strong>GOLDEN ELITE LUBRICANT (4 oz / 120ml):</strong> The lubricant is included. Great for all the bike components. Anti-jammed, superior sealant which protects components from dust and water.Reduces squeaks and damage caused by friction. To be used hot and cold weathers, suitable temperature from -25℃ to 200℃.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/-mywe_T1ej4"" width=""560""></iframe></p> "
CD-JC-13,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/CD-JC-13.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>JUST IN CASE:</strong> What if you have a flat tubeless tire on the road ? This little tool is great for repairing punctures in tubeless tires. No glue. No wait time. No removing the tire! Cyclingdeal repairs puncture in tubeless tires for bikes. Package comes with 2 handlebar end plugs with tubeless tire repair kit and 2 strands.</li> 	<li><strong>SMART DESIGN</strong>: Just hide the tubeless repair kit inside your flat MTB handlebar. Handlebar inside diameter range: 18mm to 19.5mm.(Please MEASURE before purchase). Leave it inside handlebar then forget it. It is always there whenever you need to use. Friendly reminder: You need a 4mm hex allen key to take the plug out.</li> 	<li><strong>HOW TO USE</strong>: 1. Find the hole, insert the needle and sand it. 2. Insert the plug through the needle and insert the plug at a straight angle into the tire puncture. 3: pull the tool out slowly, and leave the plug in the tire. 4. Re-inflate your tire with a co2 tire inflator.</li> 	<li><strong>DURABLE AND RELIABLE</strong>: The repair kit is crafted from durable, long-lasting superior quality cnc machined aluminum 7075 airplane level alloy with durable and precise parts - this tubeless tire repair kit is built to last! Stunning design with brilliant finish.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a life time warranty ! Made in Taiwan.</li> </ul>  <p>&nbsp;</p>  <p>&nbsp;</p>  <p>&nbsp;</p>  <p>&nbsp;</p>  <p style=""text-align:center""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/fVIgoaE7L_I"" width=""560""></iframe></p> "
CD-JC-13A,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/CD-JC-13.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>JUST IN CASE:</strong> What if you have a flat tubeless tire on the road ? This little tool is great for repairing punctures in tubeless tires. No glue. No wait time. No removing the tire! Cyclingdeal repairs puncture in tubeless tires for bikes. Package comes with 2 handlebar end plugs with tubeless tire repair kit and 2 strands.</li> 	<li><strong>SMART DESIGN</strong>: Just hide the tubeless repair kit inside your flat MTB handlebar. Handlebar inside diameter range: 18mm to 19.5mm.(Please MEASURE before purchase). Leave it inside handlebar then forget it. It is always there whenever you need to use. Friendly reminder: You need a 4mm hex allen key to take the plug out.</li> 	<li><strong>HOW TO USE</strong>: 1. Find the hole, insert the needle and sand it. 2. Insert the plug through the needle and insert the plug at a straight angle into the tire puncture. 3: pull the tool out slowly, and leave the plug in the tire. 4. Re-inflate your tire with a co2 tire inflator.</li> 	<li><strong>DURABLE AND RELIABLE</strong>: The repair kit is crafted from durable, long-lasting superior quality cnc machined aluminum 7075 airplane level alloy with durable and precise parts - this tubeless tire repair kit is built to last! Stunning design with brilliant finish.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a life time warranty ! Made in Taiwan.</li> </ul>  <p>&nbsp;</p>  <p>&nbsp;</p>  <p>&nbsp;</p>  <p>&nbsp;</p>  <p style=""text-align:center""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/fVIgoaE7L_I"" width=""560""></iframe></p> "
CD-PMR-LG,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/97114c97-fe04-487c-8542-17847771f0b0___CR0,0,970,600_PT0_SX970_V1___.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>HIGH DENSITY:</strong> Real high density 3mm thick mat which is made of new PVC without odor. The weight is around 7kg or 15.5 lbs. Size: (30' x 72') (76.20 cm x 182.88 cm).</li> 	<li><strong>GREAT FOR HEAVY EQUIPMENT</strong>: Protects carpets and floors from treadmills, elliptical, stationary spin bikes and others. Protects your carpet or floor against dirt, vibrations, wear and tear.</li> 	<li><strong>NON SLIPPERY</strong>: Mat stays firmly on the tiles and floors. Prevents Trainer from slipping whilst in use. As the mat is made of new materials, it will not leave any marks on the floor after use.</li> 	<li><strong>WATER PROOF</strong>: <span data-offset-key=""2cg9a-0-1""><span data-text=""true"">The mat is 100% waterproof. It prevents sweat or water drops damaging the carpet and wood floors.</span></span></li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!</li> </ul> "
CD-PMR-SM,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/31f3dfbd-e0fc-4019-ae7d-8b0b0618b730___CR0,0,970,600_PT0_SX970_V1___.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>HIGH DENSITY:</strong> Real high density 3mm thick mat which is made of new PVC without odor. The weight is around 6kg or 13.2 lbs. Size: (30-inch x 60-inch) (76.2 cm x 152.4 cm).</li> 	<li><strong>GREAT FOR HEAVY EQUIPMENT</strong>: Protects carpets and floors from treadmills, elliptical, stationary spin bikes and others. Protects your carpet or floor against dirt, vibrations, wear and tear.</li> 	<li><strong>NON SLIPPERY</strong>: Mat stays firmly on the tiles and floors. Prevents Trainer from slipping whilst in use. As the mat is made of new materials, it will not leave any marks on the floor after use.</li> 	<li><strong>WATER PROOF</strong>: <span data-offset-key=""2cg9a-0-1""><span data-text=""true"">The mat is 100% waterproof. It prevents sweat or water drops damaging the carpet and wood floors.</span></span></li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!</li> </ul> "
